toss_winner_is_team1,toss_decision,venue,team1_win_rate,team2_win_rate,win_rate_diff,recent_form_diff,h2h_diff,experience_diff
1,0,51,0.5689655172413793,0.41818181818181815,0.15078369905956118,0,0.7,3
1,0,17,0.4642857142857143,0.5833333333333334,-0.11904761904761907,-1,-0.3,-4
1,0,16,0.5185185185185185,0.4666666666666667,0.051851851851851816,1,0.2,-6
0,0,17,0.47368421052631576,0.509090909090909,-0.035406698564593275,1,0.1,2
1,1,43,0.47368421052631576,0.559322033898305,-0.08563782337198927,-2,0.0,-2
0,1,49,0.5178571428571429,0.42857142857142855,0.08928571428571436,-1,0.0,0
0,0,22,0.5737704918032787,0.5666666666666667,0.0071038251366120075,0,-0.2,1
1,0,26,0.5087719298245614,0.5806451612903226,-0.07187323146576119,-2,-0.1,-5
0,1,26,0.43859649122807015,0.5873015873015873,-0.14870509607351717,-1,-0.3,-6
1,0,14,0.4482758620689655,0.5,-0.051724137931034475,1,0.1,0
0,0,22,0.47540983606557374,0.5573770491803278,-0.08196721311475408,-1,-0.1,0
0,1,16,0.4915254237288136,0.46551724137931033,0.02600818234950325,0,0.2,1
0,1,26,0.578125,0.5483870967741935,0.029737903225806495,1,-0.1,2
0,1,40,0.5,0.4838709677419355,0.016129032258064502,-3,0.0,-62
0,0,43,0.4745762711864407,0.4576271186440678,0.01694915254237289,-2,0.0,0
1,1,51,0.5555555555555556,0.48333333333333334,0.07222222222222224,1,0.0,3
0,1,22,0.47619047619047616,1.0,-0.5238095238095238,2,-0.1,62
0,0,38,0.46551724137931033,0.5692307692307692,-0.10371352785145888,0,-0.2,-7
1,0,22,0.484375,0.45,0.03437499999999999,-1,0.0,4
1,1,16,0.47540983606557374,0.5,-0.024590163934426257,-1,0.0,59
1,0,26,0.5757575757575758,0.49230769230769234,0.08344988344988347,-1,0.2,1
1,1,14,0.4426229508196721,0.6666666666666666,-0.2240437158469945,1,0.0,58
1,0,43,0.48333333333333334,0.4576271186440678,0.02570621468926554,2,0.3,1
0,0,38,0.45,0.45161290322580644,-0.001612903225806428,-2,-0.1,-2
1,0,22,0.48484848484848486,0.46774193548387094,0.01710654936461392,3,-0.1,4
1,1,43,0.4918032786885246,0.5625,-0.07069672131147542,0,-0.1,-3
0,1,16,0.4603174603174603,0.582089552238806,-0.1217720919213457,-3,-0.2,-4
0,1,40,0.5,0.45901639344262296,0.04098360655737704,0,0.0,-57
1,1,14,0.4444444444444444,0.5882352941176471,-0.14379084967320266,-1,-0.2,-5
